"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"122","Pulaski","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp46","Putnam","2024","Countywide",0.09,0.13,0.17,44.98,55.01,0.88,0,12
"123","Randolph","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp47","Ripley","2024","Countywide",0.16,0.18,0.22,37.5,48.13,0.91,0,19
"124","Rush","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"125","Scott","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp48","Shelby","2024","Countywide",0.08,0.15,0.4,87.09,78.5,0.76,0,8
"126","Spencer","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp49","St. Joseph","2024","Countywide",0.13,0.2,0.22,31.57,46.39,1.09,0,9
"2.5%184","Starke","2024","Countywide",0.14,0.21,0.25,36.91,45.38,0.95,0,20
"127","Steuben","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2.5%185","Sullivan","2024","Countywide",0.08,0.13,0.2,71.24,74.09,0.93,0,23
"df_sp50","Switzerland","2024","Countywide",0.05,0.07,0.14,124.07,100.03,1.42,0,12
"128","Tippecanoe","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"129","Tipton","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"130","Union","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp51","Vanderburgh","2024","Countywide",0.09,0.13,0.3,54.77,63.2,1.1,0,7
"131","Vermillion","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp52","Vigo","2024","Countywide",0.11,0.17,0.21,43.61,56.23,1.2,0,12
"df_sp53","Wabash","2024","Countywide",0.13,0.15,0.17,15.42,20.07,1,0,10
"132","Warren","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"133","Warrick","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp54","Washington","2024","Countywide",0.05,0.09,0.17,104.33,89.75,1.08,0,17
"df_sp55","Wayne","2024","Countywide",0.12,0.16,0.21,38.56,49.34,1.12,0,18
"2.5%186","Wells","2024","Countywide",0.14,0.17,0.2,23.52,27.72,1.06,0,24
"134","White","2024","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp56","Whitley","2024","Countywide",0.11,0.15,0.17,42.39,68.5,1.39,0,13
