"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"df_sp208","Laporte","Residential Improved","Wills",0.84,0.9,0.92,3.76,5.2,1,0,7
"1121","Lawrence","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1122","Lawrence","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1123","Lawrence","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"2.5%451","Lawrence","Commercial Improved","Countywide",0.88,0.96,1.08,21.76,29.4,1.45,0,51
"2.5%452","Lawrence","Commercial Improved","Shawswick",0.86,0.91,1.06025,24.04,32.52,1.51,0,36
"df_sp209","Lawrence","Commercial Improved","Indian Creek",0.98,1.08,1.1,13.57,21.62,1.15,0,15
"2.5%453","Lawrence","Residential Vacant","Countywide",0.66,0.93,1.12,34.33,40.42,1.42,0,54
"2.5%454","Lawrence","Residential Vacant","Shawswick",0.64,0.95,1.12,31.66,37.75,1.37,0,32
"2.5%455","Lawrence","Residential Vacant","Indian Creek",0.58,0.86,1.14,40,45.06,1.49,0,22
"2.5%456","Lawrence","Residential Improved","Countywide",0.91,0.92,0.93,18.14,25.97,1.05,0,1080
"2.5%457","Lawrence","Residential Improved","Guthrie",0.89,0.94,0.99,10.72,14.43,1.05,0,23
"2.5%458","Lawrence","Residential Improved","Indian Creek",0.85,0.89,0.93,12.48,17.25,1.02,0,49
"2.5%459","Lawrence","Residential Improved","Marion",0.9,0.92,0.95,20.41,28.8,1.06,0,215
"2.5%460","Lawrence","Residential Improved","Marshall",0.92,0.94,0.97,15.41,23.71,1.02,0,105
"2.5%461","Lawrence","Residential Improved","Perry",0.91,0.93,0.97,10.35,17.01,1.01,0,34
"2.5%462","Lawrence","Residential Improved","Shawswick",0.9,0.91,0.93,18.97,26.53,1.06,0,647
"1124","Madison","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1125","Madison","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp210","Madison","Commercial Vacant","Countywide",0.12,0.26,0.55,149.52,118.36,2.36,0,10
