"","County","Type","Grouping","LowerBound","Median","UpperBound","COD","COV","PRD","PRB","Sales"
"2.5%605","Parke","Residential Improved","Florida",0.76975,0.91,0.96,14.67,18.87,1,0,24
"df_sp261","Parke","Residential Improved","Reserve",0.81,1.11,1.15,10.14,15.29,0.99,0,7
"2.5%606","Parke","Residential Improved","Union",0.78,0.91,0.95,13.19,17.01,1,0,35
"2.5%607","Parke","Residential Improved","Greene",0.77,0.9,0.94,12.56,16.87,1,0,23
"1152","Perry","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1153","Perry","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1154","Perry","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp262","Perry","Commercial Improved","Countywide",0.67,0.9,0.94,12.39,17.28,0.99,0,7
"df_sp263","Perry","Residential Vacant","Countywide",0.42,0.91,1.07,15.9,29.52,1.01,0,5
"2.5%608","Perry","Residential Improved","Countywide",0.89,0.91,0.93,11.47,14.87,1.03,0,126
"2.5%609","Perry","Residential Improved","Anderson",0.74,0.91,0.97,17.05,23.94,1.07,0,21
"2.5%610","Perry","Residential Improved","Troy",0.89,0.9,0.95,10.34,12.42,1.03,0,105
"1155","Pike","Industrial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1156","Pike","Industrial Improved","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"1157","Pike","Commercial Vacant","Countywide",NA,NA,NA,NA,NA,NA,NA,0
"df_sp264","Pike","Commercial Improved","Countywide",0.9,0.95,0.99,7.68,13.61,1.14,0,10
"df_sp265","Pike","Residential Vacant","Countywide",0.07,0.33,0.93,119.12,92.81,1.61,0,17
"2.5%611","Pike","Residential Improved","Countywide",0.93,0.96,0.98,15.92,26.23,1.05,0,172
"df_sp266","Pike","Residential Improved","Clay",0.98,1,1.05,10.92,19.99,1.04,0,17
"2.5%612","Pike","Residential Improved","Jefferson",0.89,0.92,0.96,8.02,10.46,1,0,37
"2.5%613","Pike","Residential Improved","Patoka",0.9,0.91,0.96,14.91,30.84,1.03,0,23
